"PLOT.ID","PANEL","ECO.SITE","ECO.SITE.MATCHED"
"AS-8","oversample 2018","NEED MATCHED",FALSE
"GR-21","2018","NEED MATCHED",FALSE
"MC-56","oversample 2018","NEED MATCHED",FALSE
"MC-57","oversample 2018","NEED MATCHED",FALSE
"MMS-71","2018","NEED MATCHED",FALSE
"MMS-72","2018","NEED MATCHED",FALSE
"MMS-73","2018","NEED MATCHED",FALSE
"MMS-74","2018","NEED MATCHED",FALSE
"MMS-75","2018","NEED MATCHED",FALSE
"OT-111","2018","NEED MATCHED",FALSE
"PJ-131","2018","NEED MATCHED",FALSE
"PJ-132","2018","NEED MATCHED",FALSE
"PJ-133","2018","NEED MATCHED",FALSE
"PJ-156","oversample 2018","NEED MATCHED",FALSE
"PJ-157","oversample 2018","NEED MATCHED",FALSE
"PP-171","2018","NEED MATCHED",FALSE
"RI-206","oversample 2018","NEED MATCHED",FALSE
"RI-207","oversample 2018","NEED MATCHED",FALSE
"RI-208","oversample 2018","NEED MATCHED",FALSE
"SS-221","2018","NEED MATCHED",FALSE
"SS-222","2018","NEED MATCHED",FALSE
"SS-223","2018","NEED MATCHED",FALSE
"SS-224","2018","NEED MATCHED",FALSE
"SS-225","2018","NEED MATCHED",FALSE
"SS-227","2018","NEED MATCHED",FALSE
"SS-228","2018","NEED MATCHED",FALSE
"SS-229","2018","NEED MATCHED",FALSE
"SS-230","2018","NEED MATCHED",FALSE
"SS-231","2018","NEED MATCHED",FALSE
"SS-232","2018","NEED MATCHED",FALSE
"SS-233","2018","NEED MATCHED",FALSE
"SS-234","2018","NEED MATCHED",FALSE
"SS-301","oversample 2018","NEED MATCHED",FALSE
"SS-302","oversample 2018","NEED MATCHED",FALSE
"SS-304","oversample 2018","NEED MATCHED",FALSE
"SD-323","2018","NEED MATCHED",FALSE
"SD-324","2018","NEED MATCHED",FALSE
"SD-325","2018","NEED MATCHED",FALSE
"SD-326","2018","NEED MATCHED",FALSE
"SD-327","2018","NEED MATCHED",FALSE
"SD-328","2018","NEED MATCHED",FALSE
"SD-330","2018","NEED MATCHED",FALSE
"SD-331","2018","NEED MATCHED",FALSE
"SD-332","2018","NEED MATCHED",FALSE
"SD-333","2018","NEED MATCHED",FALSE
"SD-334","2018","NEED MATCHED",FALSE
"SD-335","2018","NEED MATCHED",FALSE
"SD-396","oversample 2018","NEED MATCHED",FALSE
"SD-397","oversample 2018","NEED MATCHED",FALSE
"SD-398","oversample 2018","NEED MATCHED",FALSE
"MC-044","2019","NEED MATCHED",FALSE
"AS-002","2019","NEED MATCHED",FALSE
"GR-022","2019","R036XY114CO",TRUE
"MC-048","2020","F048AY918CO",TRUE
"MC-049","2020","R048AY238CO",TRUE
"MC-052","2021","F048AY449CO",TRUE
"MMS-076","2019","R036XY114CO",TRUE
"MMS-079","2019","R036XY289CO",TRUE
"MMS-081","2020","R048AY247CO",TRUE
"MMS-082","2020","R034BY117UT",TRUE
"MMS-085","2020","R048AY306UT",TRUE
"OT-112","2019","R034BY109UT",TRUE
"PJ-136","2019","R036XY114CO",TRUE
"PJ-137","2019","R036XY284CO",TRUE
"PJ-138","2019","R036XY113CO",TRUE
"PJ-140","2019","R035XY326CO",TRUE
"PJ-141","2020","R036XY114CO",TRUE
"PP-172","2019","R035XY408CO",TRUE
"RI-194","2019","R036XY113CO",TRUE
"RI-195","2019","NEED MATCHED",FALSE
"RI-196","2019","R036XY113CO",TRUE
"SD-329","2019","R034XY410CO",TRUE
"SD-336","2019","R034XY403CO",TRUE
"SD-337","2019","R034XY404CO",TRUE
"SD-338","2019","R034XY404CO",TRUE
"SD-339","2019","R036XY113CO",TRUE
"SD-340","2019","R034BY006UT",TRUE
"SD-341","2019","R034XY402CO",TRUE
"SD-342","2019","R035XY326CO",TRUE
"SD-343","2019","R034XY401CO",TRUE
"SD-344","2019","R034BY104UT",TRUE
"SD-347","2019","NEED MATCHED",FALSE
"SD-348","2019","R034BY109UT",TRUE
"SD-350","2019","R034BY104UT",TRUE
"SD-352","2020","R034BY109UT",TRUE
"SD-353","2020","R035XY408CO",TRUE
"SD-354","2020","R035XY408CO",TRUE
"SS-237","2019","R036XY113CO",TRUE
"SS-238","2019","R048AY247CO",TRUE
"SS-239","2019","R036XY325CO",TRUE
"SS-240","2019","R035XY315UT",TRUE
"SS-241","2019","R036XY113CO",TRUE
"SS-242 ","2019","R034XY403CO",TRUE
"SS-243","2019","R036XY113CO",TRUE
"SS-244","2019","R036XY113CO",TRUE
"SS-245","2019","R036XY114CO",TRUE
"SS-246","2019","R034XY404CO",TRUE
"SS-247","2019","R035XY326CO",TRUE
"SS-248","2019","NEED MATCHED",FALSE
"SS-250","2019","NEED MATCHED",FALSE
"SS-251","2019","NEED MATCHED",FALSE
"SS-252","2019","R035XY325CO",TRUE
"SS-253","2020","NEED MATCHED",FALSE
"SS-254","2020","NEED MATCHED",FALSE
"AS-004","2021","R048AY247CO",TRUE
"GR-023","2020","R036XY287CO",TRUE
"MC-066","oversample","F048AY918CO",TRUE
"MC-068","oversample","F048AY918CO",TRUE
"MC-070","oversample","F048AY918CO",TRUE
"MMS-083","2020","R036XY114CO",TRUE
"MMS-084","2020","R034XY403CO",TRUE
"MMS-087","2021","R036XY328CO",TRUE
"MMS-088","2021","R036XY325CO",TRUE
"MMS-089","2020","R048AY306UT",TRUE
"OT-113","2020","R036XY141CO",TRUE
"PJ-142","2020","R036XY287CO",TRUE
"PJ-143","2020","R036XY113CO",TRUE
"PJ-146","2021","R048AY238CO",TRUE
"PJ-147","2021","R036XY287CO",TRUE
"PJ-148","2021","R036XY142CO",TRUE
"PP-173","2020","R036XY114CO",TRUE
"RI-198","2020","R036XY113CO",TRUE
"RI-199","2020","R034XY401CO",TRUE
"RI-200","2021","R036XY142CO",TRUE
"SD-355","2020","R036XY325CO",TRUE
"SD-356","2020","R034BY006UT",TRUE
"SD-357","2020","R034XY404CO",TRUE
"SD-358","2020","R034XY401CO",TRUE
"SD-359","2020","R034BY112UT",TRUE
"SD-360","2020","R034XY410CO",TRUE
"SD-361","2020","R034BY106UT",TRUE
"SD-362","2020","R036XY114CO",TRUE
"SD-363","2020","R036XY113CO",TRUE
"SD-364","2020","R034BY109UT",TRUE
"SD-365","2020","R034XY404CO",TRUE
"SD-366","2021","R036XY326CO",TRUE
"SD-367","2021","R034BY109UT",TRUE
"SD-368","2021","R034BY106UT",TRUE
"SD-369","2021","R036XY445CO",TRUE
"SS-255","2020","R036XY114CO",TRUE
"SS-256","2020","R036XY114CO",TRUE
"SS-257","2020","R036XY113CO",TRUE
"SS-258","2020","R036XY113CO",TRUE
"SS-259","2020","R036XY315UT",TRUE
"SS-260","2020","R036XY287CO",TRUE
"SS-261","2020","R036XY114CO",TRUE
"SS-262 ","2020","R034BY404CO",TRUE
"SS-264","2020","R036XY114CO",TRUE
"SS-265","2020","R036XY325CO",TRUE
"SS-267","2020","R036XY284CO",TRUE
"SS-268","2020","R036XY284CO",TRUE
"SS-269","2021","R036XY325CO",TRUE
"SS-270","2021","R036XY289CO",TRUE
"SS-271","2021","R034XY401CO",TRUE
"SS-272","2021","R036XY325CO",TRUE
"GR-024","2021","R036XY287CO",TRUE
"MMS-091","2022","R048AY238CO",TRUE
"MMS-092","2022","R036XY289CO",TRUE
"MMS-093","2022","R036XY346CO",TRUE
"MMS-094","2022","R036XY289CO",TRUE
"RI-202","2021","R034BY006UT",TRUE
"RI-203","2022","R036XY114CO",TRUE
"RI-204","2022","R035XY109UT",TRUE
"PJ-149","2021","R036XY284CO",TRUE
"PJ-150","2021","R036XY141CO",TRUE
"PJ-151","2022","R036XY325CO",TRUE
"PJ-152","2022","R0356XY445CO",TRUE
"PJ-153","2022","R036XY113CO",TRUE
"PJ-154","2022","R036XY114CO",TRUE
"SD-370","2021","R036XY141CO",TRUE
"SD-371","2021","R034BY233UT",TRUE
"SD-372","2021","R034BY328CO",TRUE
"SD-373","2021","R034XY401CO",TRUE
"SD-374","2021","R048AY245CO",TRUE
"SD-375","2021","R034XY401CO",TRUE
"SD-377","2021","R034XY262CO",TRUE
"SD-378","2021","R036XY325CO",TRUE
"SD-379","2021","R034BY106UT",TRUE
"SD-380","2021","R034XY262CO",TRUE
"SD-381","2022","R034XY404CO",TRUE
"SD-382","2022","R036XY287CO",TRUE
"SD-383","2022","R036XY289CO",TRUE
"SD-384","2022","R034BY106UT",TRUE
"SD-385","2022","R034XY404CO",TRUE
"SD-386","2022","R034XY262CO",TRUE
"SD-387","2022","R034XY406CO",TRUE
"SD-388","2022","R034BY106UT",TRUE
"SD-391","2022","R036XY113CO",TRUE
"SS-273","2021","R036XY113CO",TRUE
"SS-275","2021","R036XY114CO",TRUE
"SS-276","2021","R036XY113CO",TRUE
"SS-277","2021","R036XY325CO",TRUE
"SS-278","2021","R034BY106UT",TRUE
"SS-279","2021","R036XY325CO",TRUE
"SS-280","2021","R036XY325CO",TRUE
"SS-281","2021","R048AY247CO",TRUE
"SS-282","2021","R036XY141CO",TRUE
"SS-283","2021","R036XY326CO",TRUE
"SS-284","2021","R036XY328UT",TRUE
"SS-285","2022","R034XY403CO",TRUE
"SS-286","2022","R035XY136UT",TRUE
"SS-287","2022","R036XY142CO",TRUE
"SS-288","2022","R036XY326CO",TRUE
"SS-289","2022","R036XY113CO",TRUE
"SS-290","2022","R034XY406CO",TRUE
"SS-291","2022","R036XY141CO",TRUE
"SS-292","2022","R036XY326CO",TRUE
"SS-293","2022","R036XY141CO",TRUE
"AS-012","oversample 2020","ESD NOT RELEASED",FALSE
"GR-025","2022","R036XY114CO",TRUE
"GR-026","oversample2018","R036XY114CO",TRUE
"GR-027","oversample2018","NEED MATCHED",FALSE
"GR-028","oversample2018","R034BY106UT",TRUE
"OT-117","oversample 2018","R036XY326CO",TRUE
"OT-122","oversample 2020","NEED MATCHED",FALSE
"OT-126","oversample 2021","NEED MATCHED",FALSE
"PJ-155","2022","R036XY114CO",TRUE
"PJ-158","oversample 2018","R036XY113CO",TRUE
"PJ-159","oversample 2019","R036XY114CO",TRUE
"PJ-160","oversample 2019","R036XY114CO",TRUE
"PJ-161","oversample 2019","R036XY114CO",TRUE
"PJ-164","oversample 2020","NEED MATCHED",FALSE
"PJ-165","oversample 2021","R036XY445CO",TRUE
"PJ-166","oversample 2021","R036XY113CO",TRUE
"PJ-167","oversample 2021","R036XY113CO",TRUE
"PJ-168","oversample 2022","NEED MATCHED",FALSE
"PJ-170","oversample 2022","NEED MATCHED",FALSE
"PP-176","oversample 2018","NEED MATCHED",FALSE
"PP-177","oversample 2018","R036XY287CO",TRUE
"PP-179","oversample 2019","R036XY289CO",TRUE
"PP-180","oversample 2019","R048AY255CO",TRUE
"RI-209","oversample 2019","NEED MATCHED",FALSE
"RI-210","oversample 2019","NEED MATCHED",FALSE
"RI-212","oversample 2020","NEED MATCHED",FALSE
"SS-295","2022","R036XY114CO",TRUE
"SS-296","2022","UNMATCHABLE",FALSE
"SS-297","2022","R034BY106UT",TRUE
"SS-298","2022","NEED MATCHED",FALSE
"SS-299","2022","R036XY325CO",TRUE
"SS-300","2022","R034XY327CO",TRUE
"SS-305","oversample 2019","R036XY113CO",TRUE
"SS-306","oversample 2019","R034BY212UT",TRUE
"SS-307","oversample 2019","R036XY326CO",TRUE
"SS-308","oversample 2019","R036XY284CO",TRUE
"SS-310","oversample 2020","R034XY404CO",TRUE
"SS-311","oversample 2020","R036XY326CO",TRUE
"SS-312","oversample 2020","R036XY284CO",TRUE
"SS-313","oversample 2021","R036XY114CO",TRUE
"SS-314","oversample 2021","NEED MATCHED",FALSE
"SS-315","oversample 2021","NEED MATCHED",FALSE
"SS-316","oversample 2021","R036XY284CO",TRUE
"SS-318","oversample 2022","R036XY289CO",TRUE
"SS-319","oversample 2022","R036XY326CO",TRUE
"SS-320","oversample 2022","R036XY284CO",TRUE
"SD-392","2022","R034BY117UT",TRUE
"SD-393","2022","R036XY114CO",TRUE
"SD-394","2022","NEED MATCHED",FALSE
"SD-395","2022","NEED MATCHED",FALSE
"SD-399","oversample 2019","R034XY298CO",TRUE
"SD-401","oversample 2019","R036XY113CO",TRUE
"SD-403","oversample 2020","R036XY284CO",TRUE
"SD-404","oversample 2020","R034BY117UT",TRUE
"SD-405","oversample 2021","NEED MATCHED",FALSE
"SD-407","oversample 2021","R034BY117UT",TRUE
"SD-408","oversample 2022","R034BY112UT",TRUE
"SD-409","oversample 2022","NEED MATCHED",FALSE
"SD-410","oversample 2022","R034BY109UT",TRUE
"SD-411","oversample 2022","R034BY109UT",TRUE
"SD-412","oversample 2022","R034BY109UT",TRUE
"SD-413","oversample 2022","R036XY113CO",TRUE
"SD-414","oversample 2022","R034BY117UT",TRUE
"MMS-095","2022","R036XY284CO",TRUE
"MMS-096","oversample 2018","R036XY113CO",TRUE
"MMS-097","oversample 2018","NEED MATCHED",FALSE
"MMS-098","oversample 2018","DRAFT ESD",FALSE
"MMS-099","oversample 2019","NEED MATCHED",FALSE
"MMS-100","oversample 2019","R036XY284CO",TRUE
"MMS-101","oversample 2019","R048AY306UT",TRUE
"MMS-102","oversample 2020","R034BY006UT",TRUE
